ticker,quarter,caligula_score,rank,tier
EOG,2025-09-30,0.5814935064935064,2.0,B
MTDR,2025-09-30,0.5593506493506494,3.0,B
APA,2025-09-30,0.5342207792207793,4.0,C
FANG,2025-09-30,0.530064935064935,5.0,C
OVV,2025-09-30,0.5141847041847042,6.0,C
VTLE,2025-09-30,0.5119350649350649,7.0,C
CIVI,2025-09-30,0.5047590187590187,8.0,C
SM,2025-09-30,0.43866646052360336,9.0,C
PR,2025-09-30,0.43500655909746816,10.0,C
CRGY,2025-09-30,0.36602308802308803,11.0,D
EOG,2025-12-31,0.6403095238095237,1.0,B
CTRA,2025-12-31,0.5919111111111112,2.0,B
FANG,2025-12-31,0.5650158730158731,3.0,B
OVV,2025-12-31,0.5326190476190477,4.0,C
APA,2025-12-31,0.5316746031746031,5.0,C
MTDR,2025-12-31,0.5006984126984126,6.0,C
PR,2025-12-31,0.480054834054834,7.0,C
SM,2025-12-31,0.4671229024943311,8.0,C
CIVI,2025-12-31,0.46001428571428576,9.0,C
CRGY,2025-12-31,0.3616142857142857,10.0,D
