path,file_type,line_count,imports,exports,referenced_by,references,purpose,status,cleanup_action
data/raw/edgar/llm_extract_0000928054_0000928054-14-000004.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0000928054_0000928054-23-000052.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001038357_0001038357-17-000012.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001539838_0001539838-23-000101.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0000893538_0000893538-17-000051.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0000928054_0000928054-21-000085.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0000821189_0000821189-25-000011.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0000893538_0000893538-25-000138.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001358071_0001358071-16-000037.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0000893538_0000893538-16-000218.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001038357_0001038357-21-000036.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0000893538_0000893538-23-000108.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001539838_0001539838-25-000127.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0000928054_0000928054-19-000016.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001539838_0001539838-19-000057.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001658566_0001658566-24-000053.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001841666_0001784031-23-000025.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0000821189_0000821189-22-000028.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0000893538_0000893538-14-000037.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001528129_0001528129-17-000145.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001358071_0001358071-18-000014.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0001520006_0001520006-19-000115.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0000821189_0000821189-20-000010.json,json,21,,,,,General component,KEEP,none
data/raw/edgar/facts_0001520006.json,json,200213,,,,,General component,KEEP,none
data/raw/edgar/llm_extract_0000858470_0000858470-25-000199.json,json,21,,,,,General component,KEEP,none
