ticker,quarter,unit_economics_score,capital_discipline_score,balance_sheet_score,hedge_book_score,reserves_score,operational_score,sentiment_score,macro_sensitivity_score,caligula_score,rank,tier
CIVI,2022-09-30,0.3782051282051282,0.23576423576423575,0.5924492174492174,0.23076923076923075,0.6461538461538462,0.5538461538461539,0.4615384615384615,0.5384615384615384,0.4416152181152181,12.0,C
SM,2022-09-30,0.4658119658119658,0.29513343799058084,0.19871794871794873,0.43589743589743585,0.5613553113553115,0.38461538461538464,0.5196581196581196,0.5301519468186134,0.41374803767660906,13.0,C
CTRA,2022-12-31,0.8034188034188035,0.6513486513486513,0.5083333333333333,0.48717948717948717,0.6307692307692309,0.6846153846153846,0.4901709401709401,0.6628679962013295,0.6247749472749473,1.0,B
MTDR,2022-12-31,0.8461538461538463,0.44111444111444115,0.6627122877122877,0.5384615384615384,0.4844322344322345,0.9076923076923077,0.24572649572649574,0.5394112060778727,0.5978907203907204,2.0,B
EOG,2022-12-31,0.2435897435897436,0.6583416583416583,0.6167998667998669,0.7948717948717948,0.4340659340659341,0.44230769230769235,0.6888888888888889,0.5887939221272555,0.5425330225330226,3.0,C
CRGY,2022-12-31,0.47649572649572647,0.5374625374625375,0.39040126540126535,0.7692307692307692,0.3538461538461538,0.776923076923077,0.4615384615384615,0.6011396011396012,0.5337627372627373,4.0,C
VTLE,2022-12-31,0.2435897435897436,0.6743256743256743,0.5744255744255744,0.6410256410256411,0.4,0.43461538461538457,0.6153846153846154,0.5384615384615384,0.5037992007992007,5.0,C
CIVI,2022-12-31,0.6111111111111112,0.28771228771228774,0.5178155178155179,0.717948717948718,0.5153846153846153,0.5846153846153845,0.23076923076923075,0.5384615384615384,0.5036510156510157,6.0,C
FANG,2022-12-31,0.22008547008547008,0.5044067044067044,0.533966033966034,0.4102564102564103,0.7463369963369964,0.576923076923077,0.670940170940171,0.5517568850902185,0.5032672882672883,7.0,C
APA,2022-12-31,0.391025641025641,0.6035298035298035,0.47311022311022316,0.6153846153846154,0.49450549450549447,0.3153846153846154,0.5982905982905983,0.5023741690408356,0.496917526917527,8.0,C
PXD,2022-12-31,0.5854700854700854,0.4805194805194805,0.4335664335664336,0.4230769230769231,0.4461538461538462,0.5153846153846153,0.3076923076923077,0.5384615384615384,0.47323876123876124,9.0,C
CPE,2022-12-31,0.3162393162393162,0.4485514485514486,0.6808608058608058,0.4358974358974359,0.676923076923077,0.21923076923076926,0.4615384615384615,0.5384615384615384,0.46960323010323,10.0,C
PR,2022-12-31,0.6431623931623931,0.3782883782883783,0.4426823176823177,0.1923076923076923,0.803113553113553,0.38846153846153847,0.4752136752136753,0.14434947768281103,0.4532975357975358,11.0,C
SM,2022-12-31,0.3846153846153846,0.29513343799058084,0.391025641025641,0.5384615384615384,0.6025641025641025,0.6384615384615385,0.45213675213675214,0.41595441595441596,0.4516631780917495,12.0,C
OVV,2022-12-31,0.4017094017094017,0.6735042735042734,0.21232933732933731,0.4358974358974359,0.4157509157509158,0.5153846153846154,0.6324786324786325,0.18138651471984807,0.4363683538683538,13.0,C
CTRA,2023-03-31,0.47435897435897434,0.9480519480519481,0.7262820512820513,0.6282051282051282,0.4692307692307692,0.7615384615384615,0.5376068376068377,0.6628679962013295,0.6505368520368521,1.0,B
EOG,2023-03-31,0.6068376068376069,0.5223221223221224,0.7559940059940059,0.8076923076923078,0.17765567765567766,0.8076923076923077,0.788034188034188,0.5641025641025641,0.6220018870018871,2.0,B
FANG,2023-03-31,0.6623931623931625,0.4307248307248307,0.5123210123210125,0.5641025641025641,0.4322344322344322,0.8384615384615385,0.4683760683760684,0.5764482431149097,0.5576889776889776,3.0,B
APA,2023-03-31,0.32692307692307687,0.6021867021867023,0.5884948384948385,0.5641025641025641,0.6451465201465202,0.5307692307692309,0.5666666666666667,0.5023741690408356,0.5316305916305917,4.0,C
MTDR,2023-03-31,0.702991452991453,0.39398379398379396,0.4997086247086247,0.23076923076923075,0.8608058608058607,0.4230769230769231,0.4517094017094017,0.46533713200379867,0.5159432234432234,5.0,C
CRGY,2023-03-31,0.7884615384615385,0.16733266733266736,0.39522977022977024,0.705128205128205,0.5692307692307692,0.33076923076923076,0.43589743589743585,0.6011396011396012,0.5060474525474524,6.0,C
VTLE,2023-03-31,0.2435897435897436,0.6413586413586414,0.4642024642024642,0.641025641025641,0.5384615384615385,0.3153846153846154,0.7692307692307693,0.5384615384615384,0.5034998334998335,7.0,C
CPE,2023-03-31,0.11965811965811962,0.4485514485514486,0.7303113553113553,0.6923076923076924,0.7692307692307693,0.3615384615384616,0.5,0.5384615384615384,0.5010647685647686,8.0,C
CIVI,2023-03-31,0.5982905982905984,0.3231768231768232,0.5437895437895438,0.4871794871794872,0.3769230769230769,0.4384615384615385,0.5,0.5384615384615384,0.47829936729936734,9.0,C
SM,2023-03-31,0.4487179487179487,0.7864992150706437,0.31153846153846154,0.3076923076923077,0.6346153846153847,0.5,0.27863247863247864,0.42830009496676164,0.47184667713239137,10.0,C
OVV,2023-03-31,0.32692307692307687,0.7025641025641025,0.24529637029637028,0.5641025641025641,0.6158424908424909,0.6230769230769231,0.44273504273504266,0.2678062678062678,0.4708494283494284,11.0,C
PXD,2023-03-31,0.576923076923077,0.49950049950049946,0.1038961038961039,0.2692307692307692,0.6307692307692309,0.5538461538461539,0.6538461538461539,0.5384615384615384,0.47054745254745256,12.0,C
PR,2023-03-31,0.2905982905982906,0.4110889110889111,0.4356893106893107,0.5384615384615384,0.3388278388278388,0.5153846153846153,0.5034188034188034,0.11965811965811965,0.39289183039183045,13.0,D
EOG,2023-06-30,0.717948717948718,0.6340992340992341,0.6903929403929404,0.7435897435897436,0.3379120879120879,0.723076923076923,0.5888888888888889,0.5394112060778727,0.6305244755244753,1.0,B
OVV,2023-06-30,0.811965811965812,0.6290598290598289,0.3185564435564436,0.7692307692307692,0.4478021978021978,0.6307692307692309,0.7538461538461538,0.30484330484330485,0.5970521145521146,2.0,B
CTRA,2023-06-30,0.5384615384615385,0.9480519480519481,0.575,0.4230769230769231,0.6115384615384615,0.3269230769230769,0.41623931623931626,0.7122507122507122,0.5822035187035187,3.0,B
FANG,2023-06-30,0.4273504273504274,0.48420468420468415,0.5687645687645688,0.6153846153846154,0.40018315018315015,0.8653846153846153,0.41538461538461535,0.5887939221272555,0.5321173271173272,4.0,C
CIVI,2023-06-30,0.4914529914529915,0.37512487512487513,0.5675990675990675,0.7948717948717948,0.2846153846153846,0.7576923076923077,0.5384615384615384,0.5384615384615384,0.5318095238095238,5.0,C
VTLE,2023-06-30,0.5384615384615385,0.6933066933066934,0.4558358308358308,0.4230769230769231,0.6576923076923077,0.2692307692307693,0.6153846153846154,0.5384615384615384,0.5313514818514818,6.0,C
APA,2023-06-30,0.45299145299145294,0.6466311466311466,0.5807109557109557,0.28205128205128205,0.6675824175824175,0.49615384615384617,0.5658119658119658,0.5517568850902185,0.5296434121434122,7.0,C
CPE,2023-06-30,0.45299145299145294,0.4485514485514486,0.5251831501831502,0.4358974358974359,0.923076923076923,0.5153846153846153,0.3076923076923077,0.5384615384615384,0.5161929736929737,8.0,C
PXD,2023-06-30,0.37820512820512825,0.4665334665334665,0.4335664335664336,0.6153846153846154,0.3769230769230769,0.5576923076923077,0.6923076923076922,0.5384615384615384,0.4912947052947053,9.0,C
SM,2023-06-30,0.4273504273504274,0.6718995290423863,0.4384615384615385,0.4615384615384615,0.5723443223443224,0.4076923076923077,0.411965811965812,0.31718898385565053,0.4736713762428048,10.0,C
CRGY,2023-06-30,0.3311965811965812,0.16733266733266736,0.46012321012321017,0.5641025641025642,0.7846153846153846,0.4576923076923077,0.4128205128205128,0.5641025641025641,0.4487992007992008,11.0,C
